   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
       54    0.95000  2.16822531780E+01   2.48219   3.57553  12.45614 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99742  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000019412
       55    0.95000  2.71028531780E+01   2.47868   3.57586  12.45371 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99742  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000024265
       56    0.95000  3.38785531780E+01   2.47436   3.57627  12.45073 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99742  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000030332
       57    0.95000  4.23481531780E+01   2.46907   3.57677  12.44709 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99742  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000037914
       58    0.95000  5.29351531780E+01   2.46242   3.57734  12.44263 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99742  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000047393
       59    0.95000  6.61691531780E+01   2.45417   3.57798  12.43722 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99742  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000059241
       60    0.95000  8.22191531780E+01   2.44474   3.57877  12.43092 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99742  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000073611
       61    0.95000  9.92381531780E+01   2.43502   3.57955  12.42450 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99742  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000088848
       62    0.95000  1.16744153178E+02   2.42566   3.58039  12.41814 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99742  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000104521
       63    0.95000  1.35452153178E+02   2.41598   3.58124  12.41161 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99742  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000121271
       64    0.95000  1.54777153178E+02   2.40644   3.58209  12.40512 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99741  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000138573
